Country,X2008,X2009,X2010,X2011,X2012,X2013
Tunisia,554.468085106,510.650630343,503.694046067,528.526645768,492.605042017,456.691657362
Turkey,887.687969925,872.262894624,839.114908813,868.384602066,881.141800661,922.423601005
United Republic of Tanzania,1724.0,1715.10791367,1696.28647215,1640.56939502,1681.68744008,1824.08278457
Uganda,635.071090047,846.34448575,847.78012685,848.827106864,966.583124478,998.341625207
Ukraine,264.136115368,209.10664487,221.478092723,252.43987859,260.200756094,241.011714158
Upper middle income,898.672381586,867.08617769,892.013303147,929.066790562,949.027018962,986.321988779
Uruguay,616.615067079,710.462287105,709.307267318,840.392019601,823.376623377,749.534103615
Americas,2839.67452204,2649.61980291,2799.46675554,2986.72418459,3009.64639873,3078.37403967
St. Vincent and the Grenadines,1142.85714286,1173.33333333,1194.44444444,1243.24324324,1270.27027027,1277.77777778
Virgin Islands (U.S.),2015.67944251,1813.4991119,1716.94915254,2039.47368421,1987.93103448,2161.40350877
Vietnam,927.76203966,813.98452095,881.188118812,949.451280346,1000.29205607,994.453248811
Vanuatu,2065.93406593,2118.81188119,2494.84536082,2680.85106383,2666.66666667,2654.54545455
West Bank and Gaza,695.090439276,1035.35353535,1277.77777778,1770.6013363,1540.81632653,732.110091743
World,1187.066671,1114.2015402,1142.05371571,1227.14647803,1210.08981962,1229.61928862
Samoa,945.762711864,944.262295082,1013.93442623,1114.87603306,1176.19047619,1182.75862069
"Yemen",866.080156403,874.513618677,1132.68292683,940.892641737,970.251716247,949.494949495
South Africa,956.839032527,1238.44837422,1276.69061184,1283.96690251,1219.09011754,1097.61979658
"Democratic Republic of the Congo",14.0,452.830188679,132.098765432,61.2903225806,41.3173652695,4.18848167539
Zambia,182.266009852,138.028169014,153.374233129,158.695652174,180.442374854,244.808743169
Zimbabwe,150.306748466,259.295984135,283.162125949,274.040445728,417.502787068,461.538461538
