"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bulgaria","BGR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","662000000","541000000","517000000","1150000000","1184000000","1364000000","1262000000","1392000000","2051000000","2796000000","3063000000","3317000000","4181000000","4852000000","4273000000","4035000000","4554000000","4202000000","4632000000","","",
"Bahrain","BHR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","593000000","589000000","578000000","625000000","785000000","854000000","886000000","985000000","1206000000","1504000000","1603000000","1786000000","1854000000","1927000000","1873000000","2163000000","1766000000","1742000000","1865000000","","",
"Bahamas, The","BHS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1356000000","1409000000","1427000000","1365000000","1598000000","1753000000","1665000000","1773000000","1770000000","1897000000","2081000000","2066000000","2198000000","2155000000","2025000000","2159000000","2157000000","2333000000","2182000000","","",
"Bosnia and Herzegovina","BIH","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257000000","258000000","246000000","279000000","307000000","404000000","507000000","557000000","658000000","804000000","913000000","753000000","662000000","722000000","689000000","754000000","","",
"Belarus","BLR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000000","61000000","40000000","54000000","92000000","188000000","272000000","295000000","339000000","362000000","346000000","401000000","479000000","585000000","563000000","665000000","747000000","986000000","1155000000","","",
"Belize","BLZ","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78000000","95000000","97000000","101000000","101000000","111000000","111000000","121000000","150000000","168000000","214000000","260000000","289000000","278000000","256000000","264000000","248000000","298000000","351000000","","",
"Bermuda","BMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488000000","472000000","478000000","487000000","479000000","431000000","351000000","378000000","348000000","426000000","429000000","495000000","569000000","431000000","366000000","442000000","500000000","448000000","447000000","","",
"Bolivia","BOL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92000000","100000000","129000000","137000000","124000000","101000000","119000000","143000000","243000000","283000000","345000000","330000000","326000000","302000000","306000000","339000000","499000000","631000000","635000000","","",
"Brazil","BRA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085000000","744000000","1025000000","1398000000","1718000000","1969000000","1844000000","2142000000","2673000000","3389000000","4168000000","4577000000","5284000000","6109000000","5635000000","5963000000","6830000000","6890000000","7021000000","","",
"Barbados","BRB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630000000","667000000","672000000","721000000","697000000","733000000","706000000","666000000","767000000","784000000","1081000000","1235000000","1224000000","1244000000","1122000000","1074000000","","","","","",
"Brunei Darussalam","BRN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155000000","113000000","124000000","181000000","191000000","224000000","233000000","242000000","254000000","","","92000000","","","",
"Bhutan","BTN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","6000000","6000000","8000000","9000000","10000000","9000000","8000000","8000000","13000000","19000000","36000000","47000000","47000000","51000000","64000000","76000000","93000000","118000000","","",
"Botswana","BWA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176000000","105000000","141000000","179000000","239000000","227000000","235000000","324000000","459000000","582000000","563000000","539000000","548000000","58700000","52600000","80000000","36000000","36000000","113000000","","",
"Central African Republic","CAF","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","3000000","2000000","4000000","8000000","5000000","5000000","3000000","4000000","7800000","7200000","10200000","10800000","11800000","7500000","14400000","15000000","15000000","","","",
"Canada","CAN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9176000000","10073000000","10390000000","11049000000","12024000000","13035000000","12680000000","12744000000","12236000000","15135000000","15887000000","16837000000","17961000000","18191000000","15568000000","18438000000","19989000000","20696000000","17656000000","","",
"Central Europe and the Baltics","CEB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17794000000","22759000000","23151100000","23159400000","20280000000","20255000000","20507000000","21253000000","26165000000","30731000000","35500000000","39900000000","49250000000","58450000000","48855000000","46984000000","53219000000","50064000000","53293000000","","",
"Switzerland","CHE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11354000000","10779000000","10036000000","10188000000","9135000000","8988000000","9290000000","9117000000","10493000000","11404000000","11937000000","12852000000","14721000000","17570000000","16665000000","17614000000","20640000000","19439000000","19992000000","","",
"Channel Islands","CHI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186000000","1209000000","1401000000","1431000000","1243000000","1179000000","1184000000","1221000000","1309000000","1571000000","1682000000","1891000000","2226000000","2537000000","2350000000","2422000000","2751000000","3114000000","3182000000","","",
"China","CHN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8730000000","10200000000","12626000000","13229000000","15006000000","17318000000","19006000000","21742000000","18707000000","27755000000","31842000000","37132000000","41126000000","44130000000","42632000000","50154000000","53313000000","54937000000","56401000000","","",
"Cote d'Ivoire","CIV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103000000","107000000","103000000","111000000","107000000","53000000","58000000","56000000","76000000","91000000","93000000","104000000","115000000","129000000","164000000","213000000","","","","","",
"Cameroon","CMR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000000","151000000","119000000","114000000","92000000","132000000","182000000","124000000","266000000","212000000","229000000","231000000","254000000","167000000","271000000","171000000","423000000","377000000","607000000","","",
"Congo, Rep.","COG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14669140","11017590","10000000","9000000","13500000","12400000","22600000","25600000","30000000","23100000","40000000","45000000","54000000","","","","","","","","",
"Colombia","COL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887000000","1362000000","1315000000","1216000000","1231000000","1313000000","1483000000","1237000000","1191000000","1369000000","1891000000","2370000000","2586000000","2936000000","3050000000","3441000000","3801000000","4363000000","4759000000","","",
"Comoros","COM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","23000000","26000000","16000000","19000000","15000000","9000000","11000000","16000000","21000000","24400000","27400000","30400000","37400000","32250000","35200000","42200000","39300000","","","",
"Cabo Verde","CPV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29000000","37000000","50000000","45000000","56000000","64000000","77000000","100000000","135000000","153000000","177000000","280000000","375000000","432000000","349000000","387000000","438000000","471000000","512000000","","",
"Costa Rica","CRI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","763000000","797000000","860000000","1038000000","1256000000","1477000000","1339000000","1292000000","1424000000","1586000000","1810000000","1865000000","2221000000","2533000000","2001000000","2179000000","2375000000","2543000000","2829000000","","",
