"Country Name","Country Code","Region","Income_Group",
"Honduras","HND","Amérique latine et Caraïbes","Revenu intermédiaire, tranche inférieure",
"Pays pauvres très endettés (PPTE)","HPC","","Agrégats",
"Croatie","HRV","","Revenu élevé : non OCDE",
"Haïti","HTI","Amérique latine et Caraïbes","Faible revenu",
"Hongrie","HUN","","Revenu élevé : OCDE",
"Indonésie","IDN","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Île de Man","IMN","","Revenu élevé : non OCDE",
"Inde","IND","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Non classifié","INX","","Agrégats",
"Irlande","IRL","","Revenu élevé : OCDE",
"Iran, République islamique d’","IRN","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche supérieure",
"Iraq","IRQ","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche supérieure",
"Islande","ISL","","Revenu élevé : OCDE",
"Israël","ISR","","Revenu élevé : OCDE",
"Italie","ITA","","Revenu élevé : OCDE",
"Jamaïque","JAM","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Jordanie","JOR","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche supérieure",
"Japon","JPN","","Revenu élevé : OCDE",
"Kazakhstan","KAZ","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Kenya","KEN","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"République kirghize","KGZ","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Cambodge","KHM","Asie de l’Est et Pacifique","Faible revenu",
"Kiribati","KIR","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Saint-Kitts-et-Nevis","KNA","","Revenu élevé : non OCDE",
"Corée, République de","KOR","","Revenu élevé : OCDE",
"Kosovo","KSV","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Koweït","KWT","","Revenu élevé : non OCDE",
"Amérique latine et Caraïbes","LAC","","Agrégats",
"République démocratique populaire lao","LAO","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Liban","LBN","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche supérieure",
"Libéria","LBR","Afrique subsaharienne","Faible revenu",
"Libye","LBY","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche supérieure",
"Sainte-Lucie","LCA","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Amérique latine et Caraïbes (tous niveaux de revenu)","LCN","","Agrégats",
"Pays les moins avancés : classement de l’ONU","LDC","","Agrégats",
"Faible revenu","LIC","","Agrégats",
"Liechtenstein","LIE","","Revenu élevé : non OCDE",
"Sri Lanka","LKA","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Revenu intermédiaire, tranche inférieure","LMC","","Agrégats",
"Revenu faible et intermédiaire","LMY","","Agrégats",
"Lesotho","LSO","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Lituanie","LTU","","Revenu élevé : non OCDE",
"Luxembourg","LUX","","Revenu élevé : OCDE",
"Lettonie","LVA","","Revenu élevé : non OCDE",
"Région administrative spéciale de Macao, Chine","MAC","","Revenu élevé : non OCDE",
"Saint-Martin (fr)","MAF","","Revenu élevé : non OCDE",
"Maroc","MAR","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche inférieure",
"Monaco","MCO","","Revenu élevé : non OCDE",
"Moldova","MDA","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Madagascar","MDG","Afrique subsaharienne","Faible revenu",
"Maldives","MDV","Asie du Sud","Revenu intermédiaire, tranche supérieure",
"Afrique du Nord et Moyen-Orient (tous niveaux de revenu)","MEA","","Agrégats",
"Mexique","MEX","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Îles Marshall","MHL","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Revenu intermédiaire","MIC","","Agrégats",
"Macédoine, ex-République yougoslave de","MKD","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Mali","MLI","Afrique subsaharienne","Faible revenu",
"Malte","MLT","","Revenu élevé : non OCDE",
"Myanmar","MMR","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Moyen-Orient et Afrique du Nord","MNA","","Agrégats",
"Monténégro","MNE","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Mongolie","MNG","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Mariannes","MNP","","Revenu élevé : non OCDE",
"Mozambique","MOZ","Afrique subsaharienne","Faible revenu",
"Mauritanie","MRT","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Maurice","MUS","Afrique subsaharienne","Revenu intermédiaire, tranche supérieure",
"Malawi","MWI","Afrique subsaharienne","Faible revenu",
"Malaisie","MYS","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Amérique du Nord","NAC","","Agrégats",
"Namibie","NAM","Afrique subsaharienne","Revenu intermédiaire, tranche supérieure",
"Nouvelle-Calédonie","NCL","","Revenu élevé : non OCDE",
"Niger","NER","Afrique subsaharienne","Faible revenu",
"Nigéria","NGA","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Nicaragua","NIC","Amérique latine et Caraïbes","Revenu intermédiaire, tranche inférieure",
"Pays-Bas","NLD","","Revenu élevé : OCDE",
"Revenu élevé : non OCDE","NOC","","Agrégats",
"Norvège","NOR","","Revenu élevé : OCDE",
"Népal","NPL","Asie du Sud","Faible revenu",
"Nouvelle-Zélande","NZL","","Revenu élevé : OCDE",
"Revenu élevé : OCDE","OEC","","Agrégats",
"Pays membres de l'OCDE","OED","","Agrégats",
"Oman","OMN","","Revenu élevé : non OCDE",
"Autres petits états","OSS","","Agrégats",
"Pakistan","PAK","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Panama","PAN","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Pérou","PER","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Philippines","PHL","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Palaos","PLW","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Papouasie-Nouvelle-Guinée","PNG","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Pologne","POL","","Revenu élevé : OCDE",
